gens,family_line,color,radius,angle,x,y
1,Root-Person,fffdd0,,,0,0
2.01,Paternal Grandparents,54ff01,1000,0,-1000,0
2.02,Maternal Grandparents,fe0000,1000,180,1000,0
3.01,,12fdde,2000,135,-1414.213562,1414.213562
3.02,,49ce11,2000,225,-1414.213562,-1414.213562
3.03,,ffde00,2000,45,1414.213562,1414.213562
3.04,,ff35e7,2000,315,1414.213562,-1414.213562
4.01,,8703ec,3200,112.5,-1224.586984,2956.414504
4.02,,0061f9,3200,157.5,-2956.414504,1224.586984
4.03,,1daec2,3200,202.5,-2956.414504,-1224.586984
4.04,,00d27e,3200,247.5,-1224.586984,-2956.414504
4.05,,fdf504,3200,67.5,1224.586984,2956.414504
4.06,,f59f18,3200,22.5,2956.414504,1224.586984
4.07,,cb1e2f,3200,337.5,2956.414504,-1224.586984
4.08,,c100b0,3200,292.5,1224.586984,-2956.414504
5.01,,ab43f1,4600,101.25,-897.4154813,4511.61229
5.02,,51018d,4600,123.75,-2555.623072,3824.760217
5.03,,669ffb,4600,146.25,-3824.760217,2555.623072
5.04,,003995,4600,168.75,-4511.61229,897.4154813
5.05,,77cfda,4600,191.25,-4511.61229,-897.4154813
5.06,,116974,4600,213.75,-3824.760217,-2555.623072
5.07,,66e4b1,4600,236.25,-2555.623072,-3824.760217
5.08,,007d4b,4600,258.75,-897.4154813,-4511.61229
5.09,,fdf968,4600,78.75,897.4154813,4511.61229
5.1,,979302,4600,56.25,2555.623072,3824.760217
5.11,,f9c674,4600,33.75,3824.760217,2555.623072
5.12,,93600e,4600,11.25,4511.61229,897.4154813
5.13,,df7882,4600,348.75,4511.61229,-897.4154813
5.14,,79121c,4600,326.25,3824.760217,-2555.623072
5.15,,d966d0,4600,303.75,2555.623072,-3824.760217
5.16,,73006a,4600,281.25,897.4154813,-4511.61229
6.01,,ab43f1,6400,95.625,-627.3096981,6369.182251
6.02,,d397fc,6400,106.875,-1857.821934,6124.418149
6.03,,51018d,6400,118.125,-3016.939116,5644.296092
6.04,,aa64e7,6400,129.375,-4060.117019,4947.266902
6.05,,669ffb,6400,140.625,-4947.266902,4060.117019
6.06,,b8d4ff,6400,151.875,-5644.296092,3016.939116
6.07,,003995,6400,163.125,-6124.418149,1857.821934
6.08,,538de9,6400,174.375,-6369.182251,627.3096981
6.09,,77cfda,6400,185.625,-6369.182251,-627.3096981
6.1,,adecf6,6400,196.875,-6124.418149,-1857.821934
6.11,,116974,6400,208.125,-5644.296092,-3016.939116
6.12,,4ad0d9,6400,219.375,-4947.266902,-4060.117019
6.13,,66e4b1,6400,230.625,-4060.117019,-4947.266902
6.14,,9df6d2,6400,241.875,-3016.939116,-5644.296092
6.15,,007d4b,6400,253.125,-1857.821934,-6124.418149
6.16,,47e0a3,6400,264.375,-627.3096981,-6369.182251
6.17,,fdf968,6400,84.375,627.3096981,6369.182251
6.18,,fffca9,6400,73.125,1857.821934,6124.418149
6.19,,979302,6400,61.875,3016.939116,5644.296092
6.2,,e8ed5e,6400,50.625,4060.117019,4947.266902
6.21,,f9c674,6400,39.375,4947.266902,4060.117019
6.22,,fee3b9,6400,28.125,5644.296092,3016.939116
6.23,,93600e,6400,16.875,6124.418149,1857.821934
6.24,,ffd480,6400,5.625,6369.182251,627.3096981
6.25,,df7882,6400,354.375,6369.182251,-627.3096981
6.26,,ffc7c9,6400,343.125,6124.418149,-1857.821934
6.27,,79121c,6400,331.875,5644.296092,-3016.939116
6.28,,f69a8e,6400,320.625,4947.266902,-4060.117019
6.29,,d966d0,6400,309.375,4060.117019,-4947.266902
6.3,,f5a8ef,6400,298.125,3016.939116,-5644.296092
6.31,,73006a,6400,286.875,1857.821934,-6124.418149
6.32,,f18ebf,6400,275.625,627.3096981,-6369.182251
7.01,,ab43f1,9000,92.8125,-441.6090689,8989.159106
7.02,,ab43f1,9000,98.4375,-1320.57427,8902.58859
7.03,,d397fc,9000,104.0625,-2186.821619,8730.281279
7.04,,d397fc,9000,109.6875,-3032.008681,8473.896587
7.05,,51018d,9000,115.3125,-3847.995841,8135.903638
7.06,,51018d,9000,120.9375,-4626.924698,7719.55749
7.07,,aa64e7,9000,126.5625,-5361.29374,7228.867783
7.08,,aa64e7,9000,132.1875,-6044.030594,6668.560128
7.09,,669ffb,9000,137.8125,-6668.560128,6044.030594
7.1,,669ffb,9000,143.4375,-7228.867783,5361.29374
7.11,,b8d4ff,9000,149.0625,-7719.55749,4626.924698
7.12,,b8d4ff,9000,154.6875,-8135.903638,3847.995841
7.13,,003995,9000,160.3125,-8473.896587,3032.008681
7.14,,003995,9000,165.9375,-8730.281279,2186.821619
7.15,,538de9,9000,171.5625,-8902.58859,1320.57427
7.16,,538de9,9000,177.1875,-8989.159106,441.6090689
7.17,,77cfda,9000,182.8125,-8989.159106,-441.6090689
7.18,,77cfda,9000,188.4375,-8902.58859,-1320.57427
7.19,,adecf6,9000,194.0625,-8730.281279,-2186.821619
7.2,,adecf6,9000,199.6875,-8473.896587,-3032.008681
7.21,,116974,9000,205.3125,-8135.903638,-3847.995841
7.22,,116974,9000,210.9375,-7719.55749,-4626.924698
